=== 信号分析汇总 ===
项目,值
filename,tone_a.wav
sample_rate,22050
n_samples,22050
duration,1.0
rms,0.5014684472344134
peak,0.949951171875
peak_db,-0.4459743432806365
crest_factor,1.8943388703994402
dominant_freq,100.26397705078125
band_energy_low,0.8001288131335322
band_energy_mid,0.19987036458403729
band_energy_high,8.323351165295621e-07

=== 频谱峰值表 ===
排名,Bin索引,频率(Hz),幅度,归一化幅度,dB(相对于峰值)
1,149,100.2640,0.562963,1.000000,0.00
2,654,440.0848,0.313446,0.556779,-5.09
3,151,101.6098,0.116637,0.207185,-13.67
4,145,97.5723,0.082496,0.146540,-16.68
5,154,103.6285,0.049811,0.088480,-21.06
