=== 信号分析汇总 ===
项目,值
filename,tone_b.wav
sample_rate,22050
n_samples,22050
duration,1.0
rms,0.4999492465483641
peak,0.949951171875
peak_db,-0.4459743432806365
crest_factor,1.9000952165313516
dominant_freq,250.323486328125
band_energy_low,0.31244348848639564
band_energy_mid,0.9714544417017341
band_energy_high,7.970206872590144e-06

=== 频谱峰值表 ===
排名,Bin索引,频率(Hz),幅度,归一化幅度,dB(相对于峰值)
1,372,250.3235,0.472621,1.000000,0.00
2,1486,999.9481,0.422344,0.893621,-0.98
3,374,251.6693,0.092398,0.195502,-14.18
4,369,248.3047,0.087372,0.184867,-14.66
5,1490,1002.6398,0.046329,0.098025,-20.17
