=== 信号分析汇总 ===
项目,值
filename,tone_c.wav
sample_rate,22050
n_samples,22050
duration,1.0
rms,0.5396447380961708
peak,0.949951171875
peak_db,-0.4459743432806365
crest_factor,1.7603269425480954
dominant_freq,440.0848388671875
band_energy_low,0.000335762053005707
band_energy_mid,0.9171019643924962
band_energy_high,0.08256462461357654

=== 频谱峰值表 ===
排名,Bin索引,频率(Hz),幅度,归一化幅度,dB(相对于峰值)
1,654,440.0848,0.722281,1.000000,0.00
2,4458,2999.8444,0.210657,0.291655,-10.70
3,650,437.3932,0.084572,0.117089,-18.63
4,659,443.4494,0.066302,0.091795,-20.74
5,647,435.3745,0.046726,0.064693,-23.78
