=== 信号分析汇总 ===
项目,值
sample_rate,22050
n_samples,33075
duration,1.5
rms,0.9696023351243203
peak,2.51920780656982
peak_db,8.025279868614067
crest_factor,2.5981866125011064
dominant_freq,99.92752075195312
band_energy_low,0.7242229488447854
band_energy_mid,0.40172956070963095
band_energy_high,0.005419188640631597

=== 频谱峰值表 ===
排名,Bin索引,频率(Hz),幅度,归一化幅度,dB(相对于峰值)
1,297,99.9275,0.981794,1.000000,0.00
2,743,249.9870,0.699600,0.712573,-2.94
3,1308,440.0848,0.486937,0.495967,-6.09
4,2615,879.8332,0.269909,0.274915,-11.22
5,300,100.9369,0.213785,0.217750,-13.24
6,4458,1499.9222,0.195570,0.199196,-14.01
7,294,98.9182,0.184739,0.188165,-14.51
8,746,250.9964,0.148636,0.151392,-16.40
9,740,248.9777,0.144976,0.147665,-16.61
10,302,101.6098,0.124158,0.126461,-17.96
11,292,98.2452,0.113533,0.115638,-18.74
12,1305,439.0755,0.107209,0.109197,-19.24
